Ref,Val,Package,PosX,PosY,Rot,Side
"0,1uF1","02016D104KAT2A","CAPC0603X33N",-163.950000,-100.200000,180.000000,bottom
"0,1uF2","02016D104KAT2A","CAPC0603X33N",-163.945000,-96.430000,0.000000,bottom
"1uF5","GRM033C80J105ME05D","CAPC0603X33N",-147.390000,-107.115000,270.000000,bottom
"4.7uF3","GRM035R60J475ME15D","CAPC0603X55N",-163.930000,-100.980000,0.000000,bottom
"4.7uF4","GRM035R60J475ME15D","CAPC0603X55N",-163.858000,-102.900000,0.000000,bottom
"10KOhm1","ERA-1AEB103C","RESC0603X26N",-160.622000,-94.360000,0.000000,bottom
"15pF1","885392004002","CAPC0603X33N",-158.730000,-93.730000,0.000000,bottom
"15pF2","885392004002","CAPC0603X33N",-162.930000,-106.520000,0.000000,bottom
"47uF1","0805ZD476MAT2A","CAPC2012X152N",-155.880000,-93.580000,180.000000,bottom
"47uF2","0805ZD476MAT2A","CAPC2012X152N",-160.550000,-107.150000,180.000000,bottom
"100nF1","GRM033R60J104KE19J","CAPC0603X33N",-158.100000,-94.480000,0.000000,bottom
"100nF2","GRM033R60J104KE19J","CAPC0603X33N",-162.940000,-107.250000,0.000000,bottom
"100nF3","GRM033R60J104KE19J","CAPC0603X33N",-163.980000,-101.760000,0.000000,bottom
"100nF4","GRM033R60J104KE19J","CAPC0603X33N",-157.420000,-106.590000,0.000000,bottom
"FL1","MMZ1005S121HTD25","BEADC1005X55N",-159.570000,-92.780000,180.000000,bottom
"R5","CR0201AFW-1001GLF","RESC0603X26N",-157.882000,-107.430000,180.000000,bottom
"TXB102","TXB0102YZPR","BGA8C50P2X4_89X189X50",-164.180000,-98.310000,180.000000,bottom
"1uF1","GRM033C80J105ME05D","CAPC0603X33N",140.030000,-96.160000,90.000000,top
"1uF2","GRM033C80J105ME05D","CAPC0603X33N",143.740000,-96.190000,90.000000,top
"1uF3","GRM033C80J105ME05D","CAPC0603X33N",139.920000,-104.160000,270.000000,top
"1uF4","GRM033C80J105ME05D","CAPC0603X33N",143.920000,-104.185000,270.000000,top
"5.0V1","LP5912-5.0DRVR","SON65P200X200X80-7N",141.920000,-104.500000,0.000000,top
"220uF1","GRM31CR60J227ME11L","CAPC3216X190N",141.690000,-101.550000,180.000000,top
"220uF2","GRM31CR60J227ME11L","CAPC3216X190N",141.670000,-99.240000,180.000000,top
"IC1","TCR5RG18A,LF","TCR5RG18ALF",141.720000,-95.640000,180.000000,top
"NANOSIM1","SF72S006VBDR2500","SF72S006VBAR2500",156.610000,-99.955000,0.000000,top
"SIMESDPROTECT1","CM1402-03CP","CM140203CP",148.540000,-104.960000,180.000000,top
"U.FL1","U.FL-R-SMT_10_","UFLRSMT10",145.815000,-93.600000,0.000000,top
"U.FL2","U.FL-R-SMT_10_","UFLRSMT10",146.225000,-99.400000,180.000000,top
