Ref,Val,Package,PosX,PosY,Rot,Side
"0.1uF5","02016D104KAT2A","CAPC0603X33N",-171.845000,-96.470000,180.000000,bottom
"C1","GRM31CR60J157ME11L","CAPC3216X180N",-170.510000,-102.130000,180.000000,bottom
"KEYPWR1","TPS2041CDBVT","SOT95P280X145-5N",-170.870000,-98.920000,90.000000,bottom
"SD1","104031-0811","1040310811",-156.655000,-99.510000,270.000000,bottom
"0.1uF1","02016D104KAT2A","CAPC0603X33N",147.760000,-106.685000,90.000000,top
"0.1uF2","02016D104KAT2A","CAPC0603X33N",147.750000,-105.230000,270.000000,top
"0.1uF3","GRM033C80J105ME05D","CAPC0603X33N",158.500000,-106.880000,0.000000,top
"0.1uF4","GRM033C80J105ME05D","CAPC0603X33N",163.510000,-101.180000,90.000000,top
"1uF1","GRM033C80J105ME05D","CAPC0603X33N",148.080000,-102.980000,0.000000,top
"1uF2","GRM033C80J105ME05D","CAPC0603X33N",143.990000,-105.550000,0.000000,top
"1uF3","GRM033C80J105ME05D","CAPC0603X33N",142.510000,-105.550000,180.000000,top
"1uF4","GRM033C80J105ME05D","CAPC0603X33N",155.165000,-96.810000,0.000000,top
"1uF5","GRM033C80J105ME05D","CAPC0603X33N",153.725000,-96.810000,180.000000,top
"10KOhm1","ERA-1AEB103C","RESC0603X26N",158.360000,-98.160000,270.000000,top
"10KOhm2","ERA-1AEB103C","RESC0603X26N",159.330000,-98.070000,90.000000,top
"10uF1","GRM155C80J106ME11D","CAPC1005X55N",163.640000,-103.810000,270.000000,top
"10uF2","GRM155C80J106ME11D","CAPC1005X55N",160.260000,-96.950000,90.000000,top
"16Mhz1","CSTNE16M0VH3C000R0","CSTNE16M0VH3C000R0",154.545000,-99.130000,270.000000,top
"16Mhz2","CSTNE16M0VH3C000R0","CSTNE16M0VH3C000R0",154.535000,-104.840000,270.000000,top
"22Ohm1","RC0201JR-7D22RL","RESC0603X26N",142.090000,-101.730000,270.000000,top
"22Ohm2","RC0201JR-7D22RL","RESC0603X26N",142.090000,-99.680000,270.000000,top
"IC2","ATMEGA32U4-MU","QFN50P700X700X100-45N-D",148.380000,-98.570000,90.000000,top
"IC3","PIC24FJ64GB002-I_ML","QFN65P600X600X100-29N-D",159.500000,-102.870000,0.000000,top
"IC4","TCR5RG33A,LF","BGA4C35P2X2_64X64X33",154.690000,-95.060000,0.000000,top
"IC5","TXB0104RUTR_0","TXB0104RUTR",149.270000,-105.530000,0.000000,top
"PS1","LP5912-5.0DRVR","SON65P200X200X80-7N",143.280000,-104.020000,180.000000,top
